matched_relation_type,count
References,2736668
IsSupplementTo,182335
IsDocumentedBy,59691
IsDerivedFrom,27408
IsCitedBy,4585
IsVersionOf,3878
IsVariantFormOf,3040
Cites,2047
IsPartOf,1486
IsIdenticalTo,1199
Reviews,1131
IsPublishedIn,432
Same,429
IsDescribedBy,373
IsReferencedBy,336
IsSourceOf,312
IsSupplementedBy,180
HasVersion,61
Describes,57
HasPart,44
Continues,38
IsPreviousVersionOf,38
Compiles,36
Documents,27
IsMetadataFor,20
IsNewVersionOf,20
IsCompiledBy,17
IsOriginalFormOf,10
IsRequiredBy,5
IsObsoletedBy,4
IsReviewedBy,4
IsCollectedBy,3
HasMetadata,3
IsContinuedBy,2
